gene,annotation,symbol
AT3G09190,Concanavalin A-like lectin family protein(AT3G09190),AT3G09190
AT3G09200,Ribosomal protein L10 family protein(AT3G09200),AT3G09200
AT3G09210,plastid transcriptionally active 13(PTAC13),PTAC13
AT3G09220,laccase 7(LAC7),LAC7
AT3G09230,myb domain protein 1(MYB1),MYB1
AT3G09240,kinase with tetratricopeptide repeat domain-containing protein(BSK9),BSK9
AT3G09250,Nuclear transport factor 2 (NTF2) family protein(AT3G09250),AT3G09250
AT3G09260,Glycosyl hydrolase superfamily protein(PYK10),PYK10
AT3G09270,glutathione S-transferase TAU 8(GSTU8),GSTU8
AT3G09280,transmembrane protein(AT3G09280),AT3G09280
AT3G09290,telomerase activator1(TAC1),TAC1
AT3G09300,OSBP(oxysterol binding protein)-related protein 3B(ORP3B),ORP3B
AT3G09310,membrane protein insertion efficiency factor(AT3G09310),AT3G09310
AT3G09320,DHHC-type zinc finger family protein(AT3G09320),AT3G09320
AT3G09330,Transmembrane amino acid transporter family protein(AT3G09330),AT3G09330
AT3G09340,Transmembrane amino acid transporter family protein(AT3G09340),AT3G09340
AT3G09350,Fes1A(Fes1A),Fes1A
AT3G09360,Cyclin/Brf1-like TBP-binding protein(AT3G09360),AT3G09360
AT3G09370,myb domain protein 3r-3(MYB3R-3),MYB3R-3
AT3G09380,MIP18 family protein(AT3G09380),AT3G09380
AT3G09385,miscRNA(AT3G09385),AT3G09385
AT3G09390,metallothionein 2A(MT2A),MT2A
AT3G09400,pol-like 3(PLL3),PLL3
AT3G09405,Pectinacetylesterase family protein(AT3G09405),AT3G09405
AT3G09410,Pectinacetylesterase family protein(AT3G09410),AT3G09410
AT3G09430,peptide transporter family protein(AT3G09430),AT3G09430
AT3G09440,Heat shock protein 70 (Hsp 70) family protein(AT3G09440),AT3G09440
AT3G09450,fusaric acid resistance family protein(AT3G09450),AT3G09450
AT3G09470,Major facilitator superfamily protein(AT3G09470),AT3G09470
AT3G09480,Histone superfamily protein(AT3G09480),AT3G09480
AT3G09490,Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G09490),AT3G09490
AT3G09500,Ribosomal L29 family protein(AT3G09500),AT3G09500
AT3G09520,exocyst subunit exo70 family protein H4(EXO70H4),EXO70H4
AT3G09530,exocyst subunit exo70 family protein H3(EXO70H3),EXO70H3
AT3G09540,Pectin lyase-like superfamily protein(AT3G09540),AT3G09540
AT3G09550,Ankyrin repeat family protein(AT3G09550),AT3G09550
AT3G09560,Lipin family protein(PAH1),PAH1
AT3G09570,Lung seven transmembrane receptor family protein(AT3G09570),AT3G09570
AT3G09580,FAD/NAD(P)-binding oxidoreductase family protein(AT3G09580),AT3G09580
AT3G09590,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT3G09590)",AT3G09590
AT3G09595,tRNA(AT3G09595),AT3G09595
AT3G09600,Homeodomain-like superfamily protein(RVE8),RVE8
AT3G09620,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G09620),AT3G09620
AT3G09630,Ribosomal protein L4/L1 family(AT3G09630),AT3G09630
AT3G09640,ascorbate peroxidase 2(APX2),APX2
AT3G09650,Tetratricopeptide repeat (TPR)-like superfamily protein(HCF152),HCF152
AT3G09660,minichromosome maintenance 8(MCM8),MCM8
AT3G09670,Tudor/PWWP/MBT superfamily protein(AT3G09670),AT3G09670
AT3G09680,Ribosomal protein S12/S23 family protein(AT3G09680),AT3G09680
AT3G09690,alpha/beta-Hydrolases superfamily protein(AT3G09690),AT3G09690
AT3G09700,Chaperone DnaJ-domain superfamily protein(AT3G09700),AT3G09700
AT3G09710,IQ-domain 1(IQD1),IQD1
AT3G09720,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G09720),AT3G09720
AT3G09730,POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND protein(AT3G09730),AT3G09730
AT3G09735,S1FA-like DNA-binding protein(AT3G09735),AT3G09735
AT3G09740,syntaxin of plants 71(SYP71),SYP71
AT3G09760,RING/U-box superfamily protein(AT3G09760),AT3G09760
AT3G09770,RING/U-box superfamily protein(LOG2),LOG2
AT3G09780,CRINKLY4 related 1(CCR1),CCR1
AT3G09790,ubiquitin 8(UBQ8),UBQ8
AT3G09800,SNARE-like superfamily protein(AT3G09800),AT3G09800
AT3G09810,isocitrate dehydrogenase VI(IDH-VI),IDH-VI
AT3G09820,adenosine kinase 1(ADK1),ADK1
AT3G09830,Protein kinase superfamily protein(AT3G09830),AT3G09830
AT3G09840,cell division cycle 48(CDC48),CDC48
AT3G09850,D111/G-patch domain-containing protein(AT3G09850),AT3G09850
AT3G09860,actin T1-like protein(AT3G09860),AT3G09860
AT3G09870,SAUR-like auxin-responsive protein family(AT3G09870),AT3G09870
AT3G09880,Protein phosphatase 2A regulatory B subunit family protein(ATB' BETA),ATB' BETA
AT3G09890,Ankyrin repeat family protein(AT3G09890),AT3G09890
AT3G09900,RAB GTPase homolog E1E(RABE1e),RABE1e
AT3G09910,RAB GTPase homolog C2B(RABC2b),RABC2b
AT3G09915,miscRNA(AT3G09915),AT3G09915
AT3G09920,phosphatidyl inositol monophosphate 5 kinase(PIP5K9),PIP5K9
AT3G09922,induced by phosphate starvation1(IPS1),IPS1
AT3G09925,Pollen Ole e 1 allergen and extensin family protein(AT3G09925),AT3G09925
AT3G09940,monodehydroascorbate reductase(MDHAR),MDHAR
AT3G09950,hypothetical protein(AT3G09950),AT3G09950
AT3G09960,Calcineurin-like metallo-phosphoesterase superfamily protein(AT3G09960),AT3G09960
AT3G09970,Calcineurin-like metallo-phosphoesterase superfamily protein(AT3G09970),AT3G09970
AT3G09980,ankyrin repeat 30A-like protein (DUF662)(AT3G09980),AT3G09980
AT3G10000,Homeodomain-like superfamily protein(EDA31),EDA31
AT3G10010,demeter-like 2(DML2),DML2
AT3G10020,plant/protein(AT3G10020),AT3G10020
AT3G10030,aspartate/glutamate/uridylate kinase family protein(AT3G10030),AT3G10030
AT3G10040,sequence-specific DNA binding transcription factor(AT3G10040),AT3G10040
AT3G10050,L-O-methylthreonine resistant 1(OMR1),OMR1
AT3G10060,FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT3G10060),AT3G10060
AT3G10070,TBP-associated factor 12(TAF12),TAF12
AT3G10080,RmlC-like cupins superfamily protein(AT3G10080),AT3G10080
AT3G10090,"Nucleic acid-binding, OB-fold-like protein(AT3G10090)",AT3G10090
AT3G10100,hypothetical protein(AT3G10100),AT3G10100
AT3G10110,Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein(MEE67),MEE67
AT3G10113,Homeodomain-like superfamily protein(AT3G10113),AT3G10113
AT3G10116,COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family(AT3G10116),AT3G10116
AT3G10120,hypothetical protein(AT3G10120),AT3G10120
AT3G10130,SOUL heme-binding family protein(AT3G10130),AT3G10130
AT3G10140,RECA homolog 3(RECA3),RECA3
AT3G10150,purple acid phosphatase 16(PAP16),PAP16
AT3G10160,DHFS-FPGS homolog C(DFC),DFC
AT3G10180,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G10180),AT3G10180
AT3G10185,Gibberellin-regulated family protein(AT3G10185),AT3G10185
AT3G10190,Calcium-binding EF-hand family protein(AT3G10190),AT3G10190
AT3G10200,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G10200),AT3G10200
AT3G10210,SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein(AT3G10210),AT3G10210
AT3G10220,tubulin folding cofactor B(EMB2804),EMB2804
AT3G10230,lycopene cyclase(LYC),LYC
AT3G10250,histidine-tRNA ligase(AT3G10250),AT3G10250
AT3G10260,Reticulon family protein(AT3G10260),AT3G10260
AT3G10270,DNA gyrase subunit B(GYRB1),GYRB1
AT3G10280,3-ketoacyl-CoA synthase 14(KCS14),KCS14
AT3G10290,Nucleotide-sugar transporter family protein(AT3G10290),AT3G10290
AT3G10300,Calcium-binding EF-hand family protein(AT3G10300),AT3G10300
AT3G10310,P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein(AT3G10310),AT3G10310
AT3G10320,Glycosyltransferase family 61 protein(AT3G10320),AT3G10320
AT3G10330,Cyclin-like family protein(AT3G10330),AT3G10330
AT3G10340,phenylalanine ammonia-lyase 4(PAL4),PAL4
AT3G10350,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G10350),AT3G10350
AT3G10360,pumilio 4(PUM4),PUM4
AT3G10370,FAD-dependent oxidoreductase family protein(SDP6),SDP6
AT3G10380,subunit of exocyst complex 8(SEC8),SEC8
AT3G10390,protein FLOWERING locus D-like protein(FLD),FLD
AT3G10400,RNA recognition motif and CCHC-type zinc finger domains containing protein(U11/U12-31K),U11/U12-31K
AT3G10405,vacuolar acid trehalase(AT3G10405),AT3G10405
AT3G10410,SERINE CARBOXYPEPTIDASE-LIKE 49(SCPL49),SCPL49
AT3G10420,P-loop containing nucleoside triphosphate hydrolases superfamily protein(SPD1),SPD1
AT3G10430,F-box and associated interaction domains-containing protein(AT3G10430),AT3G10430
AT3G10440,Shugoshin C terminus(AT3G10440),AT3G10440
AT3G10450,serine carboxypeptidase-like 7(SCPL7),SCPL7
AT3G10470,C2H2-type zinc finger family protein(AT3G10470),AT3G10470
AT3G10480,NAC domain containing protein 50(NAC050),NAC050
AT3G10490,NAC domain containing protein 52(NAC052),NAC052
AT3G10500,NAC domain containing protein 53(NAC053),NAC053
AT3G10510,Galactose oxidase/kelch repeat superfamily protein(AT3G10510),AT3G10510
AT3G10520,hemoglobin 2(HB2),HB2
AT3G10525,LOSS OF GIANT CELLS FROM ORGANS(LGO),LGO
AT3G10530,Transducin/WD40 repeat-like superfamily protein(AT3G10530),AT3G10530
AT3G10540,3-phosphoinositide-dependent protein kinase(AT3G10540),AT3G10540
AT3G10550,Myotubularin-like phosphatases II superfamily(MTM1),MTM1
AT3G10560,Cytochrome P450 superfamily protein(UNE9),UNE9
AT3G10570,"cytochrome P450, family 77, subfamily A, polypeptide 6(CYP77A6)",CYP77A6
AT3G10572,3-phosphoinositide-dependent protein kinase-1(APEM9),APEM9
AT3G10590,Duplicated homeodomain-like superfamily protein(AT3G10590),AT3G10590
AT3G10600,cationic amino acid transporter 7(CAT7),CAT7
AT3G10610,Ribosomal S17 family protein(AT3G10610),AT3G10610
AT3G10620,nudix hydrolase homolog 26(NUDX26),NUDX26
AT3G10630,UDP-Glycosyltransferase superfamily protein(AT3G10630),AT3G10630
AT3G10640,SNF7 family protein(VPS60.1),VPS60.1
AT3G10650,nuclear pore complex protein(NUP1),NUP1
AT3G10660,calmodulin-domain protein kinase cdpk isoform 2(CPK2),CPK2
AT3G10670,non-intrinsic ABC protein 7(NAP7),NAP7
AT3G10680,HSP20-like chaperones superfamily protein(AT3G10680),AT3G10680
AT3G10690,DNA GYRASE A(GYRA),GYRA
AT3G10700,galacturonic acid kinase(GalAK),GalAK
AT3G10710,root hair specific 12(RHS12),RHS12
AT3G10720,Plant invertase/pectin methylesterase inhibitor superfamily(AT3G10720),AT3G10720
AT3G10730,SAD1/UNC-84 domain protein 2(SUN2),SUN2
AT3G10740,alpha-L-arabinofuranosidase 1(ASD1),ASD1
AT3G10745,miscRNA(MIR158a),MIR158a
AT3G10750,FBD domain family(AT3G10750),AT3G10750
AT3G10760,Homeodomain-like superfamily protein(AT3G10760),AT3G10760
AT3G10770,Single-stranded nucleic acid binding R3H protein(AT3G10770),AT3G10770
AT3G10780,emp24/gp25L/p24 family/GOLD family protein(AT3G10780),AT3G10780
AT3G10800,Basic-leucine zipper (bZIP) transcription factor family protein(BZIP28),BZIP28
AT3G10810,zinc finger (C3HC4-type RING finger) family protein(AT3G10810),AT3G10810
AT3G10815,RING/U-box superfamily protein(AT3G10815),AT3G10815
AT3G10820,Transcription elongation factor (TFIIS) family protein(AT3G10820),AT3G10820
AT3G10840,alpha/beta-Hydrolases superfamily protein(AT3G10840),AT3G10840
AT3G10845,RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G10845),AT3G10845
AT3G10850,Metallo-hydrolase/oxidoreductase superfamily protein(GLY2),GLY2
AT3G10860,"Cytochrome b-c1 complex, subunit 8 protein(AT3G10860)",AT3G10860
AT3G10870,methyl esterase 17(MES17),MES17
AT3G10880,tropomyosin(AT3G10880),AT3G10880
AT3G10890,Glycosyl hydrolase superfamily protein(AT3G10890),AT3G10890
AT3G10915,Reticulon family protein(AT3G10915),AT3G10915
AT3G10920,manganese superoxide dismutase 1(MSD1),MSD1
AT3G10930,hypothetical protein(AT3G10930),AT3G10930
AT3G10940,dual specificity protein phosphatase (DsPTP1) family protein(LSF2),LSF2
AT3G10960,AZA-guanine resistant1(AZG1),AZG1
AT3G10970,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT3G10970),AT3G10970
AT3G10980,PLAC8 family protein(AT3G10980),AT3G10980
AT3G10985,senescence associated gene 20(SAG20),SAG20
AT3G10986,LURP-one-like protein (DUF567)(AT3G10986),AT3G10986
AT3G11000,DCD (Development and Cell Death) domain protein(AT3G11000),AT3G11000
AT3G11010,receptor like protein 34(RLP34),RLP34
AT3G11020,DRE/CRT-binding protein 2B(DREB2B),DREB2B
AT3G11030,TRICHOME BIREFRINGENCE-LIKE 32(TBL32),TBL32
AT3G11040,Glycosyl hydrolase family 85(ENGase85B),ENGase85B
AT3G11050,ferritin 2(FER2),FER2
AT3G11070,Outer membrane OMP85 family protein(AT3G11070),AT3G11070
AT3G11080,receptor like protein 35(RLP35),RLP35
AT3G11090,LOB domain-containing protein 21(LBD21),LBD21
AT3G11100,sequence-specific DNA binding transcription factor(AT3G11100),AT3G11100
AT3G11110,RING/U-box superfamily protein(AT3G11110),AT3G11110
AT3G11120,Ribosomal protein L41 family(AT3G11120),AT3G11120
AT3G11130,"Clathrin, heavy chain(AT3G11130)",AT3G11130
AT3G11150,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G11150),AT3G11150
AT3G11160,transmembrane protein(AT3G11160),AT3G11160
AT3G11165,hypothetical protein(AT3G11165),AT3G11165
AT3G11170,fatty acid desaturase 7(FAD7),FAD7
AT3G11180,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT3G11180),AT3G11180
AT3G11200,alfin-like 2(AL2),AL2
AT3G11210,SGNH hydrolase-type esterase superfamily protein(AT3G11210),AT3G11210
AT3G11220,Paxneb protein-like protein(ELO1),ELO1
AT3G11230,Yippee family putative zinc-binding protein(AT3G11230),AT3G11230
AT3G11240,arginine-tRNA protein transferase 2(ATE2),ATE2
AT3G11250,Ribosomal protein L10 family protein(AT3G11250),AT3G11250
AT3G11260,WUSCHEL related homeobox 5(WOX5),WOX5
AT3G11270,Mov34/MPN/PAD-1 family protein(MEE34),MEE34
AT3G11280,Duplicated homeodomain-like superfamily protein(AT3G11280),AT3G11280
AT3G11290,Myb/SANT-like DNA-binding domain protein(AT3G11290),AT3G11290
AT3G11320,Nucleotide-sugar transporter family protein(AT3G11320),AT3G11320
AT3G11325,Phospholipid/glycerol acyltransferase family protein(AT3G11325),AT3G11325
AT3G11330,plant intracellular ras group-related LRR 9(PIRL9),PIRL9
AT3G11340,UDP-Glycosyltransferase superfamily protein(UGT76B1),UGT76B1
AT3G11370,Cysteine/Histidine-rich C1 domain family protein(AT3G11370),AT3G11370
AT3G11385,Cysteine/Histidine-rich C1 domain family protein(AT3G11385),AT3G11385
AT3G11390,Cysteine/Histidine-rich C1 domain family protein(AT3G11390),AT3G11390
AT3G11397,prenylated RAB acceptor 1.A3(PRA1.A3),PRA1.A3
AT3G11400,eukaryotic translation initiation factor 3G1(EIF3G1),EIF3G1
AT3G11402,Cysteine/Histidine-rich C1 domain family protein(AT3G11402),AT3G11402
AT3G11410,protein phosphatase 2CA(PP2CA),PP2CA
AT3G11415,ncRNA(AT3G11415),AT3G11415
AT3G11420,"beta-1,3-N-acetylglucosaminyltransferase lunatic protein, putative (DUF604)(AT3G11420)",AT3G11420
AT3G11430,glycerol-3-phosphate acyltransferase 5(GPAT5),GPAT5
AT3G11440,myb domain protein 65(MYB65),MYB65
AT3G11450,DnaJ and Myb-like DNA-binding domain-containing protein(AT3G11450),AT3G11450
AT3G11460,Pentatricopeptide repeat (PPR) superfamily protein(AT3G11460),AT3G11460
AT3G11470,4'-phosphopantetheinyl transferase superfamily(AT3G11470),AT3G11470
AT3G11480,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(BSMT1),BSMT1
AT3G11490,rac GTPase activating protein(AT3G11490),AT3G11490
AT3G11500,Small nuclear ribonucleoprotein family protein(AT3G11500),AT3G11500
AT3G11510,Ribosomal protein S11 family protein(AT3G11510),AT3G11510
AT3G11520,CYCLIN B1;3(CYCB1;3),CYCB1;3
AT3G11530,Vacuolar protein sorting 55 (VPS55) family protein(AT3G11530),AT3G11530
AT3G11540,Tetratricopeptide repeat (TPR)-like superfamily protein(SPY),SPY
AT3G11550,Uncharacterized protein family (UPF0497)(CASP2),CASP2
AT3G11560,LETM1-like protein(AT3G11560),AT3G11560
AT3G11570,TRICHOME BIREFRINGENCE-LIKE 8(TBL8),TBL8
AT3G11580,AP2/B3-like transcriptional factor family protein(AT3G11580),AT3G11580
AT3G11590,golgin family A protein(AT3G11590),AT3G11590
AT3G11591,bric-a-brac protein(AT3G11591),AT3G11591
AT3G11600,E3 ubiquitin-protein ligase(AT3G11600),AT3G11600
AT3G11620,alpha/beta-Hydrolases superfamily protein(AT3G11620),AT3G11620
AT3G11630,Thioredoxin superfamily protein(AT3G11630),AT3G11630
AT3G11640,transmembrane protein(AT3G11640),AT3G11640
AT3G11650,NDR1/HIN1-like 2(NHL2),NHL2
AT3G11660,NDR1/HIN1-like 1(NHL1),NHL1
AT3G11670,UDP-Glycosyltransferase superfamily protein(DGD1),DGD1
AT3G11680,aluminum activated malate transporter family protein(AT3G11680),AT3G11680
AT3G11690,hypothetical protein(AT3G11690),AT3G11690
AT3G11700,FASCICLIN-like arabinogalactan protein 18 precursor(FLA18),FLA18
AT3G11710,lysyl-tRNA synthetase 1(ATKRS-1),ATKRS-1
AT3G11720,Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT3G11720),AT3G11720
AT3G11730,Ras-related small GTP-binding family protein(ATFP8),ATFP8
AT3G11745,transmembrane protein(AT3G11745),AT3G11745
AT3G11750,Dihydroneopterin aldolase(FOLB1),FOLB1
AT3G11760,structural maintenance of chromosomes flexible hinge domain protein(AT3G11760),AT3G11760
AT3G11770,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT3G11770)",AT3G11770
AT3G11773,Thioredoxin superfamily protein(AT3G11773),AT3G11773
AT3G11780,MD-2-related lipid recognition domain-containing protein / ML domain-containing protein(AT3G11780),AT3G11780
AT3G11800,Expp1 protein(AT3G11800),AT3G11800
AT3G11810,transmembrane protein(AT3G11810),AT3G11810
AT3G11820,syntaxin of plants 121(SYP121),SYP121
AT3G11830,TCP-1/cpn60 chaperonin family protein(AT3G11830),AT3G11830
AT3G11840,E3 ubiquitin-protein ligase PUB24-like protein(PUB24),PUB24
AT3G11850,"myosin-binding protein (Protein of unknown function, DUF593)(AT3G11850)",AT3G11850
AT3G11860,sterile alpha motif (SAM) domain protein(AT3G11860),AT3G11860
AT3G11880,"transmembrane protein, putative (Protein of unknown function DUF2359, transmembrane)(AT3G11880)",AT3G11880
AT3G11890,Sterile alpha motif (SAM) domain-containing protein(AT3G11890),AT3G11890
AT3G11900,aromatic and neutral transporter 1(ANT1),ANT1
AT3G11910,ubiquitin-specific protease 13(UBP13),UBP13
AT3G11920,glutaredoxin-like protein(AT3G11920),AT3G11920
AT3G11930,Adenine nucleotide alpha hydrolases-like superfamily protein(AT3G11930),AT3G11930
AT3G11940,ribosomal protein 5A(RPS5A),RPS5A
AT3G11945,homogentisate prenyltransferase(HST),HST
AT3G11950,TRAF-like superfamily protein(AT3G11950),AT3G11950
AT3G11960,Cleavage and polyadenylation specificity factor (CPSF) A subunit protein(AT3G11960),AT3G11960
AT3G11964,RIBOSOMAL RNA PROCESSING 5(AT3G11964),AT3G11964
AT3G11970,hypothetical protein(AT3G11970),AT3G11970
AT3G12020,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G12020),AT3G12020
AT3G12030,"transmembrane/coiled-coil protein (Protein of unknown function DUF106, transmembrane)(AT3G12030)",AT3G12030
AT3G12040,DNA-3-methyladenine glycosylase (MAG)(AT3G12040),AT3G12040
AT3G12050,Aha1 domain-containing protein(AT3G12050),AT3G12050
AT3G12060,trichome birefringence-like protein (DUF828)(TBL1),TBL1
AT3G12070,RAB geranylgeranyl transferase beta subunit 2(RGTB2),RGTB2
AT3G12080,GTP-binding family protein(emb2738),emb2738
AT3G12090,tetraspanin6(TET6),TET6
AT3G12100,Cation efflux family protein(AT3G12100),AT3G12100
AT3G12110,actin-11(ACT11),ACT11
AT3G12120,fatty acid desaturase 2(FAD2),FAD2
AT3G12130,KH domain-containing protein / zinc finger (CCCH type) family protein(AT3G12130),AT3G12130
AT3G12140,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein(EML1),EML1
AT3G12143,miscRNA(AT3G12143),AT3G12143
AT3G12145,Leucine-rich repeat (LRR) family protein(FLR1),FLR1
AT3G12150,alpha/beta hydrolase family protein(AT3G12150),AT3G12150
AT3G12160,RAB GTPase homolog A4D(RABA4D),RABA4D
AT3G12170,Chaperone DnaJ-domain superfamily protein(AT3G12170),AT3G12170
AT3G12180,Cornichon family protein(AT3G12180),AT3G12180
AT3G12200,NIMA-related kinase 7(Nek7),Nek7
AT3G12203,serine carboxypeptidase-like 17(scpl17),scpl17
AT3G12210,DNA binding protein(AT3G12210),AT3G12210
AT3G12220,serine carboxypeptidase-like 16(scpl16),scpl16
AT3G12230,serine carboxypeptidase-like 14(scpl14),scpl14
