"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT1G69400",0.024,0.83,"Transducin/WD40 repeat-like superfamily protein(AT1G69400)","AT1G69400"
"AT1G72470",0.024,0.83,"exocyst subunit exo70 family protein D1(EXO70D1)","EXO70D1"
"AT1G74360",0.024,0.83,"Leucine-rich repeat protein kinase family protein(AT1G74360)","AT1G74360"
"AT1G74500",0.024,0.82,"activation-tagged BRI1(brassinosteroid-insensitive 1)-suppressor 1(BS1)","BS1"
"AT1G80920",0.024,0.83,"Chaperone DnaJ-domain superfamily protein(J8)","J8"
"AT2G14095",0.024,0.82,"hypothetical protein(AT2G14095)","AT2G14095"
"AT2G17940",0.024,0.82,"WEB family protein (DUF827)(AT2G17940)","AT2G17940"
"AT2G18870",0.024,0.82,"vernalization5/VIN3-like protein(VEL3)","VEL3"
"AT2G19110",0.024,0.82,"heavy metal atpase 4(HMA4)","HMA4"
"AT2G22720",0.024,0.82,"SPT2 chromatin protein(AT2G22720)","AT2G22720"
"AT2G28670",0.024,0.82,"Disease resistance-responsive (dirigent-like protein) family protein(ESB1)","ESB1"
"AT2G32680",0.024,0.82,"receptor like protein 23(RLP23)","RLP23"
"AT2G35270",0.024,0.82,"Putative AT-hook DNA-binding family protein(GIK)","GIK"
"AT2G35490",0.024,0.82,"Plastid-lipid associated protein PAP / fibrillin family protein(AT2G35490)","AT2G35490"
"AT2G43320",0.024,0.83,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT2G43320)","AT2G43320"
"AT2G44065",0.024,0.82,"Ribosomal protein L2 family(AT2G44065)","AT2G44065"
"AT2G45080",0.024,0.82,"cyclin p3;1(cycp3;1)","cycp3;1"
"AT2G46600",0.024,0.82,"Calcium-binding EF-hand family protein(AT2G46600)","AT2G46600"
"AT3G03200",0.024,0.82,"NAC domain containing protein 45(NAC045)","NAC045"
"AT3G09410",0.024,0.83,"Pectinacetylesterase family protein(AT3G09410)","AT3G09410"
"AT3G10986",0.024,0.82,"LURP-one-like protein (DUF567)(AT3G10986)","AT3G10986"
"AT3G16857",0.024,0.83,"response regulator 1(RR1)","RR1"
"AT3G21220",0.024,0.83,"MAP kinase kinase 5(MKK5)","MKK5"
"AT3G24870",0.024,0.82,"Helicase/SANT-associated, DNA binding protein(AT3G24870)","AT3G24870"
"AT3G27330",0.024,0.82,"zinc finger (C3HC4-type RING finger) family protein(AT3G27330)","AT3G27330"
"AT3G28320",0.024,0.82,"transmembrane protein(AT3G28320)","AT3G28320"
"AT3G29020",0.024,0.83,"myb domain protein 110(MYB110)","MYB110"
"AT3G48400",0.024,0.83,"Cysteine/Histidine-rich C1 domain family protein(AT3G48400)","AT3G48400"
"AT3G52390",0.024,0.83,"TatD related DNase(AT3G52390)","AT3G52390"
"AT3G60210",0.024,0.82,"GroES-like family protein(AT3G60210)","AT3G60210"
"AT4G03811",0.024,0.83,"ncRNA(AT4G03811)","AT4G03811"
"AT4G14096",0.024,0.82,"F-box/RNI-like superfamily protein(AT4G14096)","AT4G14096"
"AT4G15550",0.024,0.82,"indole-3-acetate beta-D-glucosyltransferase(IAGLU)","IAGLU"
"AT4G16520",0.024,0.82,"Ubiquitin-like superfamily protein(ATG8F)","ATG8F"
"AT4G18510",0.024,0.83,"CLAVATA3/ESR-related 2(CLE2)","CLE2"
"AT4G28340",0.024,0.83,"pyrroline-5-carboxylate reductase(AT4G28340)","AT4G28340"
"AT4G28500",0.024,0.82,"NAC domain containing protein 73(NAC073)","NAC073"
"AT4G30097",0.024,0.82,"hypothetical protein(AT4G30097)","AT4G30097"
"AT4G31460",0.024,0.83,"Ribosomal L28 family(AT4G31460)","AT4G31460"
"AT4G31760",0.024,0.82,"peroxidase superfamily protein(AT4G31760)","AT4G31760"
"AT4G34810",0.024,0.82,"SAUR-like auxin-responsive protein family(AT4G34810)","AT4G34810"
"AT5G02590",0.024,0.82,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G02590)","AT5G02590"
"AT5G02910",0.024,0.83,"F-box/RNI-like superfamily protein(AT5G02910)","AT5G02910"
"AT5G03406",0.024,0.83,"Class II aaRS and biotin synthetases superfamily protein(AT5G03406)","AT5G03406"
"AT5G15853",0.024,0.83,"hypothetical protein(AT5G15853)","AT5G15853"
"AT5G24520",0.024,0.82,"Transducin/WD40 repeat-like superfamily protein(TTG1)","TTG1"
"AT5G28442",0.024,0.83,"quinoprotein amine dehydrogenase, beta chain-like; RIC1-like guanyl-nucleotide exchange factor(AT5G28442)","AT5G28442"
"AT5G38130",0.024,0.82,"HXXXD-type acyl-transferase family protein(AT5G38130)","AT5G38130"
"AT5G38300",0.024,0.82,"homeobox Hox-B3-like protein(AT5G38300)","AT5G38300"
"AT5G38820",0.024,0.83,"Transmembrane amino acid transporter family protein(AT5G38820)","AT5G38820"
"AT5G49550",0.024,0.82,"biogenesis of lysosome organelles complex 1 subunit-like protein(BLOS2)","BLOS2"
"AT5G49920",0.024,0.82,"Octicosapeptide/Phox/Bem1p family protein(AT5G49920)","AT5G49920"
"AT5G51500",0.024,0.82,"Plant invertase/pectin methylesterase inhibitor superfamily(AT5G51500)","AT5G51500"
"AT5G53770",0.024,0.82,"Nucleotidyltransferase family protein(AT5G53770)","AT5G53770"
"AT5G57830",0.024,0.83,"zein-binding protein (Protein of unknown function, DUF593)(AT5G57830)","AT5G57830"
"AT5G62340",0.024,0.83,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G62340)","AT5G62340"
"AT5G66920",0.024,0.82,"SKU5 similar 17(sks17)","sks17"
"AT1G02450",0.023,0.83,"NIM1-interacting 1(NIMIN1)","NIMIN1"
"AT1G11112",0.023,0.83,"hypothetical protein(AT1G11112)","AT1G11112"
"AT1G13320",0.023,0.83,"protein phosphatase 2A subunit A3(PP2AA3)","PP2AA3"
"AT1G13609",0.023,0.83,"Defensin-like (DEFL) family protein(AT1G13609)","AT1G13609"
"AT1G17147",0.023,0.83,"VQ motif-containing protein(AT1G17147)","AT1G17147"
"AT1G23380",0.023,0.83,"homeobox protein knotted-1-like 6(KNAT6)","KNAT6"
"AT1G23530",0.023,0.83,"transmembrane protein(AT1G23530)","AT1G23530"
"AT1G30690",0.023,0.83,"Sec14p-like phosphatidylinositol transfer family protein(AT1G30690)","AT1G30690"
"AT1G30870",0.023,0.83,"Peroxidase superfamily protein(AT1G30870)","AT1G30870"
"AT1G31460",0.023,0.83,"vitellogenin-2 protein(AT1G31460)","AT1G31460"
"AT1G32410",0.023,0.83,"Vacuolar protein sorting 55 (VPS55) family protein(AT1G32410)","AT1G32410"
"AT1G32560",0.023,0.83,"Late embryogenesis abundant protein, group 1 protein(AtLEA4-1)","AtLEA4-1"
"AT1G32990",0.023,0.83,"plastid ribosomal protein l11(PRPL11)","PRPL11"
"AT1G34050",0.023,0.83,"Ankyrin repeat family protein(AT1G34050)","AT1G34050"
"AT1G35430",0.023,0.83,"transmembrane protein(AT1G35430)","AT1G35430"
"AT1G49410",0.023,0.83,"translocase of the outer mitochondrial membrane 6(TOM6)","TOM6"
"AT1G53233",0.023,0.84,"ncRNA(AT1G53233)","AT1G53233"
"AT1G55330",0.023,0.83,"arabinogalactan protein 21(AGP21)","AGP21"
"AT1G55880",0.023,0.83,"Pyridoxal-5'-phosphate-dependent enzyme family protein(AT1G55880)","AT1G55880"
"AT1G56110",0.023,0.83,"NOP56-like pre RNA processing ribonucleoprotein(NOP56)","NOP56"
"AT1G64410",0.023,0.83,"hypothetical protein(AT1G64410)","AT1G64410"
"AT1G65810",0.023,0.83,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G65810)","AT1G65810"
"AT1G69120",0.023,0.83,"K-box region and MADS-box transcription factor family protein(AP1)","AP1"
"AT1G69690",0.023,0.83,"TCP family transcription factor(TCP15)","TCP15"
"AT1G70020",0.023,0.83,"transmembrane protein, putative (DUF1163)(AT1G70020)","AT1G70020"
"AT1G72270",0.023,0.83,"nucleolar pre-ribosomal-associated protein(AT1G72270)","AT1G72270"
"AT1G74740",0.023,0.83,"calcium-dependent protein kinase 30(CPK30)","CPK30"
"AT1G75920",0.023,0.83,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT1G75920)","AT1G75920"
"AT1G77690",0.023,0.83,"like AUX1 3(LAX3)","LAX3"
"AT1G78860",0.023,0.83,"D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein(AT1G78860)","AT1G78860"
"AT2G01670",0.023,0.83,"nudix hydrolase homolog 17(NUDT17)","NUDT17"
"AT2G02220",0.023,0.83,"phytosulfokin receptor 1(PSKR1)","PSKR1"
"AT2G19600",0.023,0.83,"K+ efflux antiporter 4(KEA4)","KEA4"
"AT2G20390",0.023,0.83,"cytochrome oxidase complex assembly protein(AT2G20390)","AT2G20390"
"AT2G32520",0.023,0.83,"alpha/beta-Hydrolases superfamily protein(AT2G32520)","AT2G32520"
"AT2G33580",0.023,0.83,"Protein kinase superfamily protein(LYK5)","LYK5"
"AT2G34340",0.023,0.83,"senescence regulator (Protein of unknown function, DUF584)(AT2G34340)","AT2G34340"
"AT2G34590",0.023,0.83,"Transketolase family protein(AT2G34590)","AT2G34590"
"AT2G37030",0.023,0.83,"SAUR-like auxin-responsive protein family(AT2G37030)","AT2G37030"
"AT2G38060",0.023,0.83,"phosphate transporter 4;2(PHT4;2)","PHT4;2"
"AT2G39240",0.023,0.83,"RNA polymerase I specific transcription initiation factor RRN3 protein(AT2G39240)","AT2G39240"
"AT3G01840",0.023,0.83,"Protein kinase superfamily protein(LYK2)","LYK2"
"AT3G04810",0.023,0.83,"NIMA-related kinase 2(NEK2)","NEK2"
"AT3G05858",0.023,0.83,"hypothetical protein(AT3G05858)","AT3G05858"
"AT3G07690",0.023,0.83,"6-phosphogluconate dehydrogenase family protein(AT3G07690)","AT3G07690"
"AT3G12060",0.023,0.83,"trichome birefringence-like protein (DUF828)(TBL1)","TBL1"
"AT3G15360",0.023,0.83,"thioredoxin M-type 4(TRX-M4)","TRX-M4"
"AT3G21755",0.023,0.83,"ncRNA(AT3G21755)","AT3G21755"
"AT3G26115",0.023,0.83,"Pyridoxal-5'-phosphate-dependent enzyme family protein(AT3G26115)","AT3G26115"
"AT3G42640",0.023,0.83,"H[+]-ATPase 8(HA8)","HA8"
"AT3G44870",0.023,0.83,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G44870)","AT3G44870"
"AT3G46600",0.023,0.83,"GRAS family transcription factor(AT3G46600)","AT3G46600"
"AT3G50910",0.023,0.83,"netrin receptor DCC(AT3G50910)","AT3G50910"
"AT3G60480",0.023,0.83,"StAR lipid transfer-like protein(AT3G60480)","AT3G60480"
"AT4G00070",0.023,0.83,"RING/U-box superfamily protein(AT4G00070)","AT4G00070"
"AT4G15310",0.023,0.83,"cytochrome P450, family 702, subfamily A, polypeptide 3(CYP702A3)","CYP702A3"
"AT4G18630",0.023,0.83,"hypothetical protein (DUF688)(AT4G18630)","AT4G18630"
"AT4G21110",0.023,0.83,"G10 family protein(AT4G21110)","AT4G21110"
"AT4G34480",0.023,0.83,"O-Glycosyl hydrolases family 17 protein(AT4G34480)","AT4G34480"
"AT4G39740",0.023,0.83,"Thioredoxin superfamily protein(HCC2)","HCC2"
"AT5G02340",0.023,0.83,"Cysteine/Histidine-rich C1 domain family protein(AT5G02340)","AT5G02340"
"AT5G02640",0.023,0.84,"hypothetical protein(AT5G02640)","AT5G02640"
"AT5G03210",0.023,0.83,"E3 ubiquitin-protein ligase(DIP2)","DIP2"
"AT5G07322",0.023,0.83,"ncRNA(AT5G07322)","AT5G07322"
"AT5G08415",0.023,0.83,"Radical SAM superfamily protein(AT5G08415)","AT5G08415"
"AT5G17360",0.023,0.83,"DNA ligase(AT5G17360)","AT5G17360"
"AT5G19520",0.023,0.83,"mechanosensitive channel of small conductance-like 9(MSL9)","MSL9"
"AT5G26630",0.023,0.83,"MADS-box transcription factor family protein(AT5G26630)","AT5G26630"
"AT5G28235",0.023,0.83,"Ulp1 protease family protein(AT5G28235)","AT5G28235"
"AT5G28626",0.023,0.83,"hypothetical protein(SADHU1-3)","SADHU1-3"
"AT5G35753",0.023,0.83,"DnaJ heat shock amino-terminal domain protein (DUF3444)(AT5G35753)","AT5G35753"
"AT5G57320",0.023,0.83,"actin filament bundling protein P-115-ABP protein(VLN5)","VLN5"
"AT5G57550",0.023,0.83,"xyloglucan endotransglucosylase/hydrolase 25(XTH25)","XTH25"
"AT5G58020",0.023,0.83,"RTF2 RING-finger protein(AT5G58020)","AT5G58020"
"AT5G62800",0.023,0.83,"Protein with RING/U-box and TRAF-like domain(AT5G62800)","AT5G62800"
"AT5G66630",0.023,0.83,"DA1-related protein 5(DAR5)","DAR5"
"AT5G67488",0.023,0.84,"ncRNA(AT5G67488)","AT5G67488"
"ATCG01100",0.023,0.84,"NDHA","NDHA"
"AT1G08125",0.022,0.84,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G08125)","AT1G08125"
"AT1G12400",0.022,0.84,"Nucleotide excision repair, TFIIH, subunit TTDA(AT1G12400)","AT1G12400"
"AT1G16210",0.022,0.84,"coiled-coil protein(AT1G16210)","AT1G16210"
"AT1G17400",0.022,0.84,"hypothetical protein(AT1G17400)","AT1G17400"
"AT1G18335",0.022,0.84,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT1G18335)","AT1G18335"
"AT1G22470",0.022,0.84,"hypothetical protein(AT1G22470)","AT1G22470"
"AT1G23210",0.022,0.84,"glycosyl hydrolase 9B6(GH9B6)","GH9B6"
"AT1G26945",0.022,0.84,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(KDR)","KDR"
"AT1G28670",0.022,0.84,"GDSL-like Lipase/Acylhydrolase superfamily protein(ARAB-1)","ARAB-1"
"AT1G29090",0.022,0.84,"Cysteine proteinases superfamily protein(AT1G29090)","AT1G29090"
"AT1G31020",0.022,0.84,"thioredoxin O2(TO2)","TO2"
"AT1G34630",0.022,0.84,"transmembrane protein(AT1G34630)","AT1G34630"
"AT1G35630",0.022,0.84,"Protease-associated (PA) RING/U-box zinc finger family protein(AT1G35630)","AT1G35630"
"AT1G52760",0.022,0.84,"lysophospholipase 2(LysoPL2)","LysoPL2"
"AT1G53800",0.022,0.84,"muscle M-line assembly protein(AT1G53800)","AT1G53800"
"AT1G58160",0.022,0.84,"jacalin lectin-like protein(JAX1)","JAX1"
"AT1G64100",0.022,0.84,"pentatricopeptide (PPR) repeat-containing protein(AT1G64100)","AT1G64100"
"AT1G64230",0.022,0.84,"ubiquitin-conjugating enzyme 28(UBC28)","UBC28"
"AT1G68020",0.022,0.84,"UDP-Glycosyltransferase / trehalose-phosphatase family protein(ATTPS6)","ATTPS6"
"AT1G69900",0.022,0.84,"Actin cross-linking protein(AT1G69900)","AT1G69900"
"AT1G73320",0.022,0.84,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G73320)","AT1G73320"
"AT1G77030",0.022,0.84,"putative DEAD-box ATP-dependent RNA helicase 29(AT1G77030)","AT1G77030"
"AT1G80980",0.022,0.84,"stress response NST1-like protein(AT1G80980)","AT1G80980"
"AT2G01850",0.022,0.84,"endoxyloglucan transferase A3(EXGT-A3)","EXGT-A3"
"AT2G03690",0.022,0.84,"coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein(AT2G03690)","AT2G03690"
"AT2G12905",0.022,0.84,"hypothetical protein(AT2G12905)","AT2G12905"
"AT2G17020",0.022,0.84,"F-box/RNI-like superfamily protein(AT2G17020)","AT2G17020"
"AT2G20930",0.022,0.84,"SNARE-like superfamily protein(AT2G20930)","AT2G20930"
"AT2G28570",0.022,0.84,"hypothetical protein(AT2G28570)","AT2G28570"
"AT2G29070",0.022,0.84,"Ubiquitin fusion degradation UFD1 family protein(AT2G29070)","AT2G29070"
"AT2G31230",0.022,0.84,"ethylene-responsive element binding factor 15(ERF15)","ERF15"
"AT2G35585",0.022,0.84,"cystic fibrosis transmembrane conductance regulator(AT2G35585)","AT2G35585"
"AT2G36480",0.022,0.84,"pre-mRNA cleavage complex 2 Pcf11-like protein(AT2G36480)","AT2G36480"
"AT2G37020",0.022,0.84,"Translin family protein(AT2G37020)","AT2G37020"
"AT2G42060",0.022,0.84,"Cysteine/Histidine-rich C1 domain family protein(AT2G42060)","AT2G42060"
"AT2G43410",0.022,0.84,"RNA binding protein(FPA)","FPA"
"AT2G45100",0.022,0.84,"Cyclin/Brf1-like TBP-binding protein(AT2G45100)","AT2G45100"
"AT2G45470",0.022,0.84,"FASCICLIN-like arabinogalactan protein 8(FLA8)","FLA8"
"AT3G07570",0.022,0.84,"Cytochrome b561/ferric reductase transmembrane with DOMON related domain-containing protein(AT3G07570)","AT3G07570"
"AT3G11570",0.022,0.84,"TRICHOME BIREFRINGENCE-LIKE 8(TBL8)","TBL8"
"AT3G21630",0.022,0.84,"chitin elicitor receptor kinase 1(CERK1)","CERK1"
"AT3G23240",0.022,0.84,"ethylene response factor 1(ERF1)","ERF1"
"AT3G28050",0.022,0.84,"nodulin MtN21 /EamA-like transporter family protein(UMAMIT41)","UMAMIT41"
"AT3G29618",0.022,0.84,"hypothetical protein(AT3G29618)","AT3G29618"
"AT3G44270",0.022,0.84,"hypothetical protein(AT3G44270)","AT3G44270"
"AT3G45070",0.022,0.84,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G45070)","AT3G45070"
"AT3G51460",0.022,0.84,"Phosphoinositide phosphatase family protein(RHD4)","RHD4"
"AT3G51540",0.022,0.84,"mucin-5AC-like protein(AT3G51540)","AT3G51540"
"AT3G52970",0.022,0.84,"cytochrome P450, family 76, subfamily G, polypeptide 1(CYP76G1)","CYP76G1"
"AT3G53740",0.022,0.84,"Ribosomal protein L36e family protein(AT3G53740)","AT3G53740"
"AT4G00080",0.022,0.84,"Plant invertase/pectin methylesterase inhibitor superfamily protein(UNE11)","UNE11"
"AT4G05475",0.022,0.84,"RNI-like superfamily protein(AT4G05475)","AT4G05475"
"AT4G08410",0.022,0.84,"Proline-rich extensin-like family protein(AT4G08410)","AT4G08410"
"AT4G21192",0.022,0.84,"Cytochrome c oxidase biogenesis protein Cmc1-like protein(AT4G21192)","AT4G21192"
"AT4G22670",0.022,0.84,"HSP70-interacting protein 1(HIP1)","HIP1"
"AT4G22810",0.022,0.84,"Putative AT-hook DNA-binding family protein(AT4G22810)","AT4G22810"
"AT4G29330",0.022,0.84,"DERLIN-1(DER1)","DER1"
"AT4G34140",0.022,0.84,"D111/G-patch domain-containing protein(AT4G34140)","AT4G34140"
"AT4G37180",0.022,0.84,"Homeodomain-like superfamily protein(AT4G37180)","AT4G37180"
"AT5G04010",0.022,0.84,"F-box family protein(AT5G04010)","AT5G04010"
"AT5G04600",0.022,0.84,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G04600)","AT5G04600"
"AT5G05350",0.022,0.84,"PLAC8 family protein(AT5G05350)","AT5G05350"
"AT5G06950",0.022,0.84,"bZIP transcription factor family protein(AHBP-1B)","AHBP-1B"
"AT5G08070",0.022,0.84,"TCP domain protein 17(TCP17)","TCP17"
"AT5G10260",0.022,0.84,"RAB GTPase homolog H1E(RABH1e)","RABH1e"
"AT5G15190",0.022,0.84,"hypothetical protein(AT5G15190)","AT5G15190"
"AT5G20350",0.022,0.84,"Ankyrin repeat family protein with DHHC zinc finger domain-containing protein(TIP1)","TIP1"
"AT5G23230",0.022,0.84,"nicotinamidase 2(NIC2)","NIC2"
"AT5G37010",0.022,0.84,"rho GTPase-activating protein(AT5G37010)","AT5G37010"
"AT5G39750",0.022,0.84,"AGAMOUS-like 81(AGL81)","AGL81"
"AT5G47770",0.022,0.84,"farnesyl diphosphate synthase 1(FPS1)","FPS1"
"AT5G53430",0.022,0.84,"SET domain group 29(SDG29)","SDG29"
"AT5G56760",0.022,0.84,"serine acetyltransferase 1;1(SERAT1;1)","SERAT1;1"
"AT5G62170",0.022,0.84,"LOW protein: M-phase inducer phosphatase-like protein(TRM25)","TRM25"
"ATCG00570",0.022,0.84,"PSBF","PSBF"
"ATMG00960",0.022,0.84,"CCB203","CCB203"
"ATMG01380",0.022,0.84,"RRN5","RRN5"
"AT1G04100",0.021,0.85,"indoleacetic acid-induced protein 10(IAA10)","IAA10"
"AT1G09490",0.021,0.84,"NAD(P)-binding Rossmann-fold superfamily protein(AT1G09490)","AT1G09490"
"AT1G13140",0.021,0.84,"cytochrome P450, family 86, subfamily C, polypeptide 3(CYP86C3)","CYP86C3"
"AT1G31760",0.021,0.85,"SWIB/MDM2 domain superfamily protein(AT1G31760)","AT1G31760"
"AT1G47590",0.021,0.85,"miscRNA(ATPUP20)","ATPUP20"
"AT1G47760",0.021,0.85,"AGAMOUS-like 102(AGL102)","AGL102"
"AT1G49710",0.021,0.84,"fucosyltransferase 12(FUT12)","FUT12"
"AT1G54110",0.021,0.85,"Membrane fusion protein Use1(AT1G54110)","AT1G54110"
"AT1G61740",0.021,0.85,"Sulfite exporter TauE/SafE family protein(AT1G61740)","AT1G61740"
"AT1G63120",0.021,0.84,"RHOMBOID-like 2(RBL2)","RBL2"
"AT1G69935",0.021,0.84,"short hypocotyl in white light1(SHW1)","SHW1"
"AT1G71860",0.021,0.85,"protein tyrosine phosphatase 1(PTP1)","PTP1"
"AT1G72530",0.021,0.85,"plastid developmental protein DAG(AT1G72530)","AT1G72530"
"AT1G80810",0.021,0.85,"Tudor/PWWP/MBT superfamily protein(AT1G80810)","AT1G80810"
"AT2G01280",0.021,0.85,"Cyclin/Brf1-like TBP-binding protein(MEE65)","MEE65"
"AT2G04840",0.021,0.84,"F-box only protein (DUF295)(AT2G04840)","AT2G04840"
"AT2G05910",0.021,0.84,"LURP-one-like protein (DUF567)(AT2G05910)","AT2G05910"
"AT2G09865",0.021,0.85,"hypothetical protein(AT2G09865)","AT2G09865"
"AT3G03060",0.021,0.85,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT3G03060)","AT3G03060"
"AT3G15353",0.021,0.85,"metallothionein 3(MT3)","MT3"
"AT3G21210",0.021,0.85,"zinc ion binding protein(AT3G21210)","AT3G21210"
"AT3G28180",0.021,0.85,"Cellulose-synthase-like C4(CSLC04)","CSLC04"
"AT3G46990",0.021,0.85,"DUF740 family protein, putative (DUF740)(AT3G46990)","AT3G46990"
"AT3G48350",0.021,0.85,"Cysteine proteinases superfamily protein(CEP3)","CEP3"
"AT3G54090",0.021,0.85,"fructokinase-like 1(FLN1)","FLN1"
"AT4G02010",0.021,0.85,"Protein kinase superfamily protein(AT4G02010)","AT4G02010"
"AT4G05430",0.021,0.85,"Carbohydrate-binding X8 domain superfamily protein(AT4G05430)","AT4G05430"
"AT4G16008",0.021,0.85,"hypothetical protein(AT4G16008)","AT4G16008"
"AT4G16910",0.021,0.85,"hypothetical protein(AT4G16910)","AT4G16910"
"AT4G18290",0.021,0.85,"potassium channel KAT1-like protein(KAT2)","KAT2"
"AT4G19900",0.021,0.84,"alpha 1,4-glycosyltransferase family protein(AT4G19900)","AT4G19900"
"AT4G20490",0.021,0.85,"hypothetical protein(AT4G20490)","AT4G20490"
"AT4G23760",0.021,0.85,"Cox19-like CHCH family protein(AT4G23760)","AT4G23760"
"AT4G25670",0.021,0.85,"stress response NST1-like protein(AT4G25670)","AT4G25670"
"AT4G28230",0.021,0.84,"hypothetical protein(AT4G28230)","AT4G28230"
"AT4G28350",0.021,0.85,"Concanavalin A-like lectin protein kinase family protein(AT4G28350)","AT4G28350"
"AT4G30270",0.021,0.85,"xyloglucan endotransglucosylase/hydrolase 24(XTH24)","XTH24"
"AT4G30845",0.021,0.85,"DNA-directed RNA polymerase subunit beta(AT4G30845)","AT4G30845"
"AT4G31351",0.021,0.85,"hypothetical protein(AT4G31351)","AT4G31351"
"AT4G34440",0.021,0.84,"Protein kinase superfamily protein(PERK5)","PERK5"
"AT5G04080",0.021,0.85,"cysteine-rich TM module stress tolerance protein(AT5G04080)","AT5G04080"
"AT5G05790",0.021,0.85,"Duplicated homeodomain-like superfamily protein(AT5G05790)","AT5G05790"
"AT5G05880",0.021,0.85,"UDP-Glycosyltransferase superfamily protein(AT5G05880)","AT5G05880"
"AT5G10350",0.021,0.84,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G10350)","AT5G10350"
"AT5G16160",0.021,0.84,"hypothetical protein(AT5G16160)","AT5G16160"
"AT5G18700",0.021,0.85,"kinase family with ARM repeat domain-containing protein(AT5G18700)","AT5G18700"
"AT5G47890",0.021,0.85,"NADH-ubiquinone oxidoreductase B8 subunit(AT5G47890)","AT5G47890"
"AT5G55300",0.021,0.84,"DNA topoisomerase I alpha(TOP1ALPHA)","TOP1ALPHA"
"AT5G60050",0.021,0.85,"BTB/POZ domain-containing protein(AT5G60050)","AT5G60050"
"AT5G64290",0.021,0.85,"dicarboxylate transport 2.1(DIT2.1)","DIT2.1"
"AT5G65410",0.021,0.85,"homeobox protein 25(HB25)","HB25"
"AT1G05560",0.02,0.85,"UDP-glucosyltransferase 75B1(UGT75B1)","UGT75B1"
"AT1G11050",0.02,0.85,"Protein kinase superfamily protein(AT1G11050)","AT1G11050"
"AT1G15230",0.02,0.86,"hypothetical protein(AT1G15230)","AT1G15230"
"AT1G23280",0.02,0.86,"MAK16 protein-like protein(AT1G23280)","AT1G23280"
